date,lat,lon,co
07/02/2018 10:43:50,19.33061,-99.18686,2.651
07/02/2018 10:43:51,19.33061,-99.18686,2.642
07/02/2018 10:43:52,19.33061,-99.18686,2.633
07/02/2018 10:43:53,19.3306,-99.18686,2.625
07/02/2018 10:43:54,19.3306,-99.18686,2.616
07/02/2018 10:43:55,19.3306,-99.18686,2.607
07/02/2018 10:43:56,19.3306,-99.18686,2.599
07/02/2018 10:43:57,19.3306,-99.18686,2.590
07/02/2018 10:43:58,19.3306,-99.18686,2.581
07/02/2018 10:43:59,19.3306,-99.18686,2.572
07/02/2018 10:44:00,19.3306,-99.18686,2.573
07/02/2018 10:44:01,19.3306,-99.18686,2.573
07/02/2018 10:44:02,19.3306,-99.18686,2.573
07/02/2018 10:44:03,19.3306,-99.18686,2.573
07/02/2018 10:44:04,19.3306,-99.18686,2.573
07/02/2018 10:44:05,19.3306,-99.18686,2.573
07/02/2018 10:44:06,19.3306,-99.18686,2.573
07/02/2018 10:44:07,19.3306,-99.18686,2.573
07/02/2018 10:44:08,19.3306,-99.18686,2.577
07/02/2018 10:44:09,19.3306,-99.18686,2.580
07/02/2018 10:44:10,19.3306,-99.18686,2.584
07/02/2018 10:44:11,19.3306,-99.18686,2.587
07/02/2018 10:44:12,19.3306,-99.18686,2.591
07/02/2018 10:44:13,19.3306,-99.18686,2.594
07/02/2018 10:44:14,19.3306,-99.18686,2.598
07/02/2018 10:44:15,19.3306,-99.18686,2.601
07/02/2018 10:44:16,19.3306,-99.18686,2.605
07/02/2018 10:44:17,19.3306,-99.18686,2.608
07/02/2018 10:44:18,19.3306,-99.18686,2.612
07/02/2018 10:44:19,19.3306,-99.18686,2.615
07/02/2018 10:44:20,19.3306,-99.18686,2.619
07/02/2018 10:44:21,19.3306,-99.18686,2.622
07/02/2018 10:44:22,19.3306,-99.18686,2.626
07/02/2018 10:44:23,19.3306,-99.18686,2.629
07/02/2018 10:44:24,19.3306,-99.18686,2.633
07/02/2018 10:44:25,19.3306,-99.18686,2.636
07/02/2018 10:44:26,19.3306,-99.18686,2.640
07/02/2018 10:44:27,19.3306,-99.18686,2.644
07/02/2018 10:44:28,19.3306,-99.18686,2.647
07/02/2018 10:44:29,19.3306,-99.18686,2.651
07/02/2018 10:44:30,19.3306,-99.18686,2.585
07/02/2018 10:44:31,19.3306,-99.18686,2.520
07/02/2018 10:44:32,19.3306,-99.18686,2.455
07/02/2018 10:44:33,19.3306,-99.18686,2.390
07/02/2018 10:44:34,19.3306,-99.18686,2.325
07/02/2018 10:44:35,19.3306,-99.18686,2.259
07/02/2018 10:44:36,19.3306,-99.18686,2.194
07/02/2018 10:44:37,19.3306,-99.18686,2.129
07/02/2018 10:44:38,19.3306,-99.18686,2.153
07/02/2018 10:44:39,19.3306,-99.18686,2.176
07/02/2018 10:44:40,19.3306,-99.18686,2.200
07/02/2018 10:44:41,19.3306,-99.18686,2.224
07/02/2018 10:44:42,19.3306,-99.18686,2.248
07/02/2018 10:44:43,19.3306,-99.18686,2.271
07/02/2018 10:44:44,19.3306,-99.18686,2.295
07/02/2018 10:44:45,19.3306,-99.18686,2.319
07/02/2018 10:44:46,19.3306,-99.18686,2.342
07/02/2018 10:44:47,19.3306,-99.18686,2.366
07/02/2018 10:44:48,19.3306,-99.18686,2.390
07/02/2018 10:44:49,19.3306,-99.18686,2.413
07/02/2018 10:44:50,19.3306,-99.18686,2.437
07/02/2018 10:44:51,19.3306,-99.18686,2.461
07/02/2018 10:44:52,19.3306,-99.18687,2.485
07/02/2018 10:44:53,19.3306,-99.18687,2.508
07/02/2018 10:44:54,19.33059,-99.18688,2.532
07/02/2018 10:44:55,19.33059,-99.18689,2.556
07/02/2018 10:44:56,19.33059,-99.1869,2.579
07/02/2018 10:44:57,19.33059,-99.18693,2.603
07/02/2018 10:44:58,19.33059,-99.18694,2.627
07/02/2018 10:44:59,19.33059,-99.18696,2.651
07/02/2018 10:45:00,19.33059,-99.18698,2.690
07/02/2018 10:45:01,19.33059,-99.18701,2.730
07/02/2018 10:45:02,19.33058,-99.18703,2.770
07/02/2018 10:45:03,19.33058,-99.18706,2.809
07/02/2018 10:45:04,19.33057,-99.18709,2.849
07/02/2018 10:45:05,19.33056,-99.18711,2.889
07/02/2018 10:45:06,19.33055,-99.18713,2.929
07/02/2018 10:45:07,19.33055,-99.18715,2.968
07/02/2018 10:45:08,19.33055,-99.18717,2.954
07/02/2018 10:45:09,19.33054,-99.18719,2.939
07/02/2018 10:45:10,19.33054,-99.18721,2.925
07/02/2018 10:45:11,19.33054,-99.18723,2.911
07/02/2018 10:45:12,19.33053,-99.18724,2.896
07/02/2018 10:45:13,19.33052,-99.18726,2.882
07/02/2018 10:45:14,19.33051,-99.18728,2.867
07/02/2018 10:45:15,19.33051,-99.18729,2.853
07/02/2018 10:45:16,19.3305,-99.18731,2.838
07/02/2018 10:45:17,19.3305,-99.18734,2.824
07/02/2018 10:45:18,19.3305,-99.18737,2.809
07/02/2018 10:45:19,19.33049,-99.1874,2.795
07/02/2018 10:45:20,19.33049,-99.18743,2.781
07/02/2018 10:45:21,19.33048,-99.18746,2.766
07/02/2018 10:45:22,19.33048,-99.1875,2.752
07/02/2018 10:45:23,19.33048,-99.18753,2.737
07/02/2018 10:45:24,19.33048,-99.18756,2.723
07/02/2018 10:45:25,19.33047,-99.1876,2.708
07/02/2018 10:45:26,19.33047,-99.18763,2.694
07/02/2018 10:45:27,19.33047,-99.18766,2.679
07/02/2018 10:45:28,19.33047,-99.18769,2.665
07/02/2018 10:45:29,19.33046,-99.18772,2.651
07/02/2018 10:45:30,19.33046,-99.18775,2.591
07/02/2018 10:45:31,19.33046,-99.18778,2.532
07/02/2018 10:45:32,19.33046,-99.18781,2.473
07/02/2018 10:45:33,19.33045,-99.18784,2.414
07/02/2018 10:45:34,19.33045,-99.18787,2.355
07/02/2018 10:45:35,19.33045,-99.1879,2.296
07/02/2018 10:45:36,19.33045,-99.18793,2.237
07/02/2018 10:45:37,19.33044,-99.18797,2.178
07/02/2018 10:45:38,19.33043,-99.188,2.202
07/02/2018 10:45:39,19.33043,-99.18804,2.227
07/02/2018 10:45:40,19.33042,-99.18807,2.252
07/02/2018 10:45:41,19.33042,-99.1881,2.276
07/02/2018 10:45:42,19.33041,-99.18814,2.301
07/02/2018 10:45:43,19.33041,-99.18818,2.326
07/02/2018 10:45:44,19.3304,-99.18823,2.350
07/02/2018 10:45:45,19.3304,-99.18827,2.375
07/02/2018 10:45:46,19.33039,-99.18831,2.400
07/02/2018 10:45:47,19.33038,-99.18836,2.424
07/02/2018 10:45:48,19.33038,-99.18841,2.449
07/02/2018 10:45:49,19.33037,-99.18847,2.474
07/02/2018 10:45:50,19.33036,-99.18854,2.498
07/02/2018 10:45:51,19.33035,-99.18861,2.523
07/02/2018 10:45:52,19.33035,-99.18867,2.548
07/02/2018 10:45:53,19.33035,-99.18871,2.572
07/02/2018 10:45:54,19.33037,-99.18877,2.597
07/02/2018 10:45:55,19.3304,-99.18882,2.622
07/02/2018 10:45:56,19.33042,-99.18887,2.646
07/02/2018 10:45:57,19.33045,-99.18891,2.671
07/02/2018 10:45:58,19.33047,-99.18896,2.696
07/02/2018 10:45:59,19.33051,-99.18901,2.720
07/02/2018 10:46:00,19.33055,-99.18905,2.708
07/02/2018 10:46:01,19.33059,-99.18909,2.696
07/02/2018 10:46:02,19.33064,-99.18911,2.684
07/02/2018 10:46:03,19.33069,-99.18913,2.672
07/02/2018 10:46:04,19.33074,-99.18914,2.660
07/02/2018 10:46:05,19.3308,-99.18917,2.648
07/02/2018 10:46:06,19.33086,-99.18918,2.636
07/02/2018 10:46:07,19.33092,-99.18919,2.623
07/02/2018 10:46:08,19.33099,-99.1892,2.628
07/02/2018 10:46:09,19.33106,-99.1892,2.632
07/02/2018 10:46:10,19.33112,-99.18921,2.637
07/02/2018 10:46:11,19.33118,-99.18922,2.641
07/02/2018 10:46:12,19.33124,-99.18923,2.645
07/02/2018 10:46:13,19.3313,-99.18923,2.650
07/02/2018 10:46:14,19.33136,-99.18924,2.654
07/02/2018 10:46:15,19.33141,-99.18925,2.659
07/02/2018 10:46:16,19.33147,-99.18926,2.663
07/02/2018 10:46:17,19.33153,-99.18926,2.667
07/02/2018 10:46:18,19.33159,-99.18926,2.672
07/02/2018 10:46:19,19.33165,-99.18927,2.676
07/02/2018 10:46:20,19.3317,-99.18927,2.681
07/02/2018 10:46:21,19.33176,-99.18928,2.685
07/02/2018 10:46:22,19.33181,-99.18929,2.690
07/02/2018 10:46:23,19.33186,-99.18929,2.694
07/02/2018 10:46:24,19.33192,-99.1893,2.698
07/02/2018 10:46:25,19.33197,-99.18931,2.703
07/02/2018 10:46:26,19.33203,-99.18931,2.707
07/02/2018 10:46:27,19.33209,-99.18932,2.712
07/02/2018 10:46:28,19.33214,-99.18932,2.716
07/02/2018 10:46:29,19.3322,-99.18933,2.720
07/02/2018 10:46:30,19.33225,-99.18934,2.665
07/02/2018 10:46:31,19.33231,-99.18935,2.609
07/02/2018 10:46:32,19.33236,-99.18935,2.554
07/02/2018 10:46:33,19.33241,-99.18935,2.498
07/02/2018 10:46:34,19.33246,-99.18935,2.442
07/02/2018 10:46:35,19.3325,-99.18935,2.387
07/02/2018 10:46:36,19.33255,-99.18936,2.331
07/02/2018 10:46:37,19.3326,-99.18936,2.276
07/02/2018 10:46:38,19.33266,-99.18937,2.296
07/02/2018 10:46:39,19.33271,-99.18937,2.316
07/02/2018 10:46:40,19.33276,-99.18937,2.336
07/02/2018 10:46:41,19.33281,-99.18938,2.356
07/02/2018 10:46:42,19.33286,-99.18939,2.377
07/02/2018 10:46:43,19.33291,-99.18939,2.397
07/02/2018 10:46:44,19.33297,-99.1894,2.417
07/02/2018 10:46:45,19.33303,-99.1894,2.437
07/02/2018 10:46:46,19.33308,-99.18941,2.458
07/02/2018 10:46:47,19.33314,-99.18943,2.478
07/02/2018 10:46:48,19.33319,-99.18944,2.498
07/02/2018 10:46:49,19.33323,-99.18943,2.518
07/02/2018 10:46:50,19.33327,-99.18945,2.538
